Tm,HR,CS,BA,OBP,GDP,SF,WR,ERR,ERA,BB,TEAM
Arizona Diamondbacks 2021,0.89,0.10,0.236,0.309,0.61,0.17,0.321,0.62,5.12,3.52,Arizona Diamondbacks
Atlanta Braves 2021,1.48,0.11,0.244,0.319,0.50,0.25,0.559,0.45,3.82,3.29,Atlanta Braves
Baltimore Orioles 2021,1.20,0.14,0.239,0.304,0.65,0.19,0.321,0.46,5.85,3.61,Baltimore Orioles
Boston Red Sox 2021,1.39,0.13,0.261,0.328,0.65,0.25,0.567,0.66,4.30,3.41,Boston Red Sox
Chicago Cubs 2021,1.30,0.23,0.237,0.312,0.82,0.19,0.438,0.54,4.87,3.80,Chicago Cubs
Chicago White Sox 2021,1.16,0.13,0.256,0.336,0.87,0.24,0.566,0.59,3.83,3.15,Chicago White Sox
Cincinnati Reds 2021,1.37,0.15,0.249,0.328,0.80,0.28,0.512,0.56,4.42,3.87,Cincinnati Reds
Cleveland Indians 2021,1.25,0.10,0.238,0.303,0.65,0.22,0.494,0.54,4.34,3.34,Cleveland Indians
Colorado Rockies 2021,1.13,0.14,0.249,0.317,0.61,0.22,0.460,0.45,4.82,3.47,Colorado Rockies
Detroit Tigers 2021,1.10,0.15,0.242,0.308,0.70,0.31,0.475,0.52,4.31,3.62,Detroit Tigers
Houston Astros 2021,1.33,0.09,0.267,0.339,0.83,0.33,0.584,0.44,3.84,3.42,Houston Astros
Kansas City Royals 2021,1.01,0.20,0.249,0.306,0.62,0.32,0.457,0.52,4.65,3.75,Kansas City Royals
Los Angeles Angels 2021,1.17,0.16,0.245,0.310,0.66,0.15,0.475,0.54,4.69,3.75,Los Angeles Angels
Los Angeles Dodgers 2021,1.44,0.10,0.244,0.330,0.59,0.27,0.644,0.53,3.02,2.97,Los Angeles Dodgers
Miami Marlins 2021,0.98,0.18,0.233,0.298,0.59,0.19,0.414,0.76,3.96,3.36,Miami Marlins
Milwaukee Brewers 2021,1.18,0.13,0.233,0.317,0.63,0.21,0.578,0.57,3.48,3.37,Milwaukee Brewers
Minnesota Twins 2021,1.41,0.09,0.241,0.314,0.75,0.26,0.451,0.65,4.84,3.07,Minnesota Twins
New York Mets 2021,1.09,0.16,0.239,0.315,0.76,0.14,0.475,0.59,3.90,3.10,New York Mets
New York Yankees 2021,1.37,0.11,0.237,0.322,0.94,0.21,0.564,0.62,3.76,3.11,New York Yankees
Oakland Athletics 2021,1.23,0.12,0.238,0.317,0.61,0.30,0.531,0.45,4.02,2.76,Oakland Athletics
Philadelphia Phillies 2021,1.22,0.12,0.240,0.318,0.64,0.27,0.506,0.59,4.38,3.23,Philadelphia Phillies
Pittsburgh Pirates 2021,0.77,0.19,0.236,0.309,0.63,0.23,0.377,0.44,5.08,3.91,Pittsburgh Pirates
San Diego Padres 2021,1.11,0.24,0.242,0.321,0.75,0.28,0.488,0.51,4.08,3.25,San Diego Padres
Seattle Mariners 2021,1.23,0.15,0.226,0.303,0.57,0.22,0.556,0.49,4.30,3.03,Seattle Mariners
San Francisco Giants 2021,1.47,0.08,0.249,0.329,0.71,0.19,0.653,0.51,3.24,2.57,San Francisco Giants
St. Louis Cardinals 2021,1.21,0.13,0.244,0.313,0.61,0.27,0.552,0.52,3.97,3.86,St. Louis Cardinals
Tampa Bay Rays 2021,1.38,0.26,0.243,0.321,0.46,0.25,0.608,0.49,3.73,2.67,Tampa Bay Rays
Texas Rangers 2021,1.03,0.18,0.232,0.294,0.70,0.19,0.370,0.51,4.80,3.24,Texas Rangers
Toronto Blue Jays 2021,1.62,0.12,0.266,0.330,0.69,0.22,0.562,0.56,3.91,3.03,Toronto Blue Jays
Washington Nationals 2021,1.12,0.16,0.258,0.337,0.98,0.19,0.401,0.59,4.82,3.54,Washington Nationals
Arizona Diamondbacks 2020,0.97,0.12,0.241,0.312,0.62,0.38,0.417,0.57,4.84,4.08,Arizona Diamondbacks
Atlanta Braves 2020,1.65,0.06,0.268,0.349,0.60,0.14,0.597,0.51,4.26,3.69,Atlanta Braves
Baltimore Orioles 2020,1.28,0.23,0.258,0.321,0.53,0.17,0.417,0.72,4.51,3.33,Baltimore Orioles
Boston Red Sox 2020,1.35,0.15,0.265,0.330,0.85,0.15,0.400,0.75,5.58,4.33,Boston Red Sox
Chicago Cubs 2020,1.21,0.16,0.220,0.318,0.68,0.21,0.548,0.50,3.98,3.19,Chicago Cubs
Chicago White Sox 2020,1.60,0.13,0.261,0.326,0.71,0.21,0.571,0.67,3.78,3.72,Chicago White Sox
Cincinnati Reds 2020,1.45,0.16,0.212,0.312,0.71,0.11,0.500,0.45,3.83,3.74,Cincinnati Reds
Cleveland Indians 2020,0.97,0.16,0.228,0.317,0.68,0.26,0.565,0.52,3.54,2.79,Cleveland Indians
Colorado Rockies 2020,1.05,0.15,0.257,0.311,0.68,0.32,0.433,0.72,5.59,3.51,Colorado Rockies
Detroit Tigers 2020,1.07,0.10,0.245,0.303,0.72,0.24,0.397,0.52,5.63,3.51,Detroit Tigers
Houston Astros 2020,1.25,0.19,0.240,0.312,0.75,0.21,0.507,0.36,4.16,3.70,Houston Astros
